TEST_GROUP,RESOLVED_ENTITY_ID,MATCH_KEY,DATA_SOURCE,ENTITY_TYPE,RECORD_ID
TI-1036,TI-1036-1,resolve: name | dob | drlic ,TRUTH-SET1,PERSON,1094
TI-1036,TI-1036-3,anchor,TRUTH-SET1,PERSON,1095
TI-1036,TI-1036-3,resolve: name | dob | drlic | invalid gender,TRUTH-SET1,PERSON,1096
TI-1037,TI-1037-1,anchor,TRUTH-SET1,PERSON,1097
TI-1037,TI-1037-1,resolve: name | address | email ,TRUTH-SET1,PERSON,1098
TI-1037,TI-1037-3,anchor,TRUTH-SET1,PERSON,1099
TI-1037,TI-1037-3,resolve: name | address | email | invalid gender,TRUTH-SET1,PERSON,1100
TI-1038,TI-1038-1,anchor,TRUTH-SET1,PERSON,1101
TI-1038,TI-1038-1,resolve: name | email ,TRUTH-SET1,PERSON,1102
TI-1038,TI-1038-3,anchor,TRUTH-SET1,PERSON,1103
TI-1038,TI-1038-3,resolve: name | address | email | invalid  gender,TRUTH-SET1,PERSON,1104
